State,Borehole Name,Borehole URI,Latitude,Longitude,Start Depth,EndDepth,File Modified Date,Download Link
SA,KD 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/188414,-33.6855813,137.7947673,167,437.3,6/23/2022 5:03:57 AM,https://nvclstore.z8.web.core.windows.net/SA/188414_KAT_KD1.zip
SA,GD 16,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/247784,-32.5376655,140.2555126,1.8,122,8/19/2022 4:10:43 AM,https://nvclstore.z8.web.core.windows.net/SA/247784_GD16.zip
SA,BWM1A-1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/104361,-31.2607115,140.1268498,82.9,600,2/15/2024 12:17:12 AM,https://nvclstore.z8.web.core.windows.net/SA/104361_BWMIA1.zip
SA,RD/DD85EN 15,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141789,-29.6657272,135.4339024,0,300,6/23/2022 5:02:52 AM,https://nvclstore.z8.web.core.windows.net/SA/141789_DD85EN_15.zip
SA,KEN 1,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/191629,-30.9246061,134.9670284,0,103,6/23/2022 5:02:52 AM,https://nvclstore.z8.web.core.windows.net/SA/191629_KEN1.zip
SA,PINDARI 2,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/154665,-33.4107063,136.3844158,0,50,6/23/2022 4:56:06 AM,https://nvclstore.z8.web.core.windows.net/SA/154665 Pindari 2.zip
SA,QM2002,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/219502,-30.1738995,139.2736982,192.1,466.2,6/23/2022 4:59:49 AM,https://nvclstore.z8.web.core.windows.net/SA/219502_QM2002.zip
SA,WOMDD002,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/285455,-33.8788733,137.6919303,56.5,359.1,6/23/2022 4:58:44 AM,https://nvclstore.z8.web.core.windows.net/SA/285455_Wombat_2.zip
SA,80KTD 4,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/144191,-32.0250425,139.528806,0,45.6,2/9/2023 2:47:23 AM,https://nvclstore.z8.web.core.windows.net/SA/144191_80KTD4.zip
SA,IRD204,https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/270294,-33.2442002,135.6691831,71.47,444.56,6/23/2022 4:55:14 AM,https://nvclstore.z8.web.core.windows.net/SA/270294_IRD204.zip
