BoreholeURI,x,y,BoreholeName,State,Length,TsgLink
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/AN15,126.129182,-16.896664,AN15,wa,279.2,https://nvclstore.z8.web.core.windows.net/WA/AN15.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/192459,136.4151199,-32.6567483,MENNINNIE DAM MD 25,sa,658.4,https://nvclstore.z8.web.core.windows.net/SA/192459_MD_25.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/241828,130.7342957,-26.425727,DD08CAR002,sa,404.9,https://nvclstore.z8.web.core.windows.net/SA/241828_DD08CAR002.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/184147,139.4525436,-34.6578754,BLACK HILL 1,sa,749.0,https://nvclstore.z8.web.core.windows.net/SA/184147_BlackHill1_Core.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/18189,136.843693,-30.1486023,BD 1,sa,941.0,https://nvclstore.z8.web.core.windows.net/SA/18189_BD1.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/239706,134.0827929,-27.3740252,EWHDDH01,sa,831.17,https://nvclstore.z8.web.core.windows.net/SA/239706_EWHDDH01.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/241831,130.6424927,-26.387859,DD08CAR005,sa,402.2,https://nvclstore.z8.web.core.windows.net/SA/241831_DD08CAR005.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/RRLCRDD004,122.1889436,-27.12223022,RRLCRDD004,wa,223.34,https://nvclstore.z8.web.core.windows.net/WA/RRLCRDD004.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/NCB0003W1,121.6127462,-30.09599463,NCB0003W1,wa,280.0,https://nvclstore.z8.web.core.windows.net/WA/NCB0003W1.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/WDDH0093B,121.4914306,-31.37116619,WDDH0093B,wa,89.5,https://nvclstore.z8.web.core.windows.net/WA/WDDH0093B.zip
http://geossdi.dmp.wa.gov.au/resource/feature/gswa/borehole/TUR13DD003,127.4350314,-22.61911614,TUR13DD003,wa,532.4,
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/237529,136.3344971,-30.1122413,08PD04C,sa,1157.0,https://nvclstore.z8.web.core.windows.net/SA/237529_08PD04C.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141761,135.3940274,-29.6692842,DD86EN 35,sa,621.9,https://nvclstore.z8.web.core.windows.net/SA/141761_DD86EN_35.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/141778,135.3919664,-29.6709142,DD88EN 43,sa,594.7,https://nvclstore.z8.web.core.windows.net/SA/141778_DD88EN43.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/20712,137.2038097,-31.4699543,PY 1,sa,1293.3,https://nvclstore.z8.web.core.windows.net/SA/20712_PY1.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/171750,140.9222045,-32.2508766,MM 14,sa,1619.1,https://nvclstore.z8.web.core.windows.net/SA/171750_MM14.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/234076,136.2695431,-30.1411193,07PD01,sa,1009.3,https://nvclstore.z8.web.core.windows.net/SA/234076_07PD01.zip
https://sarigdata.pir.sa.gov.au/nvcl/resource/feature/PIRSA/borehole/192461,136.4146529,-32.6446943,MENNINNIE DAM MD 27,sa,725.0,https://nvclstore.z8.web.core.windows.net/SA/192461_MD27.zip
